,text,rubric
1380,"Судьба российского экспортного газопровода «Северный поток-2» снова стала зависеть от властей Дании, которая дольше остальных не давала разрешение на его строительство, пишет принадлежащее  Григорию Березкину  РБК. Издание ссылается на сообщение пресс-службы компании Nord Stream 2 AG — оператора газопровода, отвечающего за его строительство и эксплуатацию. Она полностью принадлежит  «Газпрому» , зарубежные партнеры российского концерна выступают в статусе «финансовых инвесторов» из-за опасения санкций. Nord Stream 2 AG просит Датское энергетическое агентство (DEA) разрешить использование судов с системой якорного позиционирования. Именно такая система установлена на российском трубоукладчике «Фортуна», который стоит в немецком порту, но не может приступить к строительным работам, поскольку нынешнее разрешение от Дании распространяется только на суда с системой динамического позиционирования. Единственным российским судном, удовлетворяющим текущим требованиям Дании, является трубоукладчик «Академик Черский», совершивший в мае переход из России в Германию, к месту строительства финальной части «Северного потока-2». После введения санкций США в отношении компаний, принимающих участие в строительстве газопровода, судно швейцарской компании Allseas было вынуждено покинуть Балтийское море. Дания дольше остальных стран рассматривала заявку Nord Stream 2 AG на строительство «Северного потока-2». DEA оценивала влияние газопровода на экологическую ситуацию в регионе. Разрешение было выдано в ноябре, однако достроить газопровод в изначально заложенные сроки не удалось.",Экономика
1397,"Нападающий клуба Национальной хоккейной лиги (НХЛ) «Нью-Джерси»  Никита Гусев  оценил юмор американцев. Его слова приводит «Спорт-Экспресс». Гусев рассказал, что до сих пор не может свободно общаться на английском, из-за чего не дает интервью местным СМИ и не всегда понимает американский юмор. «До сих пор не все шутки кажутся мне смешными. Но со временем я начал привыкать и понимать больше», — добавил он. При этом хоккеист сказал, что над его шутками одноклубники смеются. Гусев подписал с «Нью-Джерси» двухлетний контракт прошлым летом. Его представление в НХЛ  рассмешило  фанатов. Зарплата россиянина составляет 4,5 миллиона долларов за сезон. С 2015-го по 2019 год хоккеист выступал за  петербургский СКА , в составе которого он стал обладателем Кубка Гагарина в сезоне-2016/17. Также Гусев является олимпийским чемпионом Игр 2018 года и бронзовым призером чемпионатов мира 2017 и 2019 годов.",Спорт
1398,"Пандемия коронавируса, девальвация рубля и экономический спад скорректировали планы по запуску новых жилых проектов у застройщиков. Еще раньше начали снижаться объемы нового строительства, и это уже долгосрочный тренд.  «Лента.ру»  проанализировала перспективы рынка новостроек и будущие цены на жилье. На прошлой неделе стало известно, что правительство проработает вопрос о расширении программы льготной ипотеки под 6,5 процента и расширит ее действие. Об этом сообщил первый вице-премьер Андрей Белоусов на встрече с представителями «Деловой России». Льготная ипотека была утверждена в апреле этого года как часть общенационального плана восстановления экономики после пандемии коронавируса COVID-19 и будет действовать до 1 ноября. В том числе благодаря этой программе ставки снизились до минимума с 2018 года, а спрос на ипотеку на первичном рынке России в мае  превысил  достигнутый до пандемии уровень. По данным ДОМ.РФ, в мае объем ипотечного кредитования в России достиг 205 миллиардов рублей, что на 8 процентов больше, чем в мае 2019 года. За месяц банки выдали 87 тысяч кредитов (плюс 1,4 процента к маю прошлого года). А главным драйвером роста стала как раз программа льготной ипотеки. В мае на нее  пришлось  около 20 процентов всех выданных ипотечных кредитов. Именно спрос не позволяет ценам на недвижимость снижаться. По данным ЦИАН, средневзвешенная стоимость первичного жилья в российских городах-миллионниках в начале июня составила 76,7 тысячи рублей за квадратный метр,  увеличившись  на 1 процент относительно начала мая и на 6 процентов — по сравнению с аналогичным периодом прошлого года. Про снижение цен можно забыть и по другим причинам. На рынке новостроек уже в ближайший год спрос будет превышать предложение, утверждают эксперты рынка недвижимости. Это связано с тем, что в 2019 году в Московском регионе было выдано 301 разрешение на строительство (123 — в Москве и 178 — в области), что на 64 процента меньше, чем в 2018 году (когда было выдано 833 разрешения, из них в Москве — 437, в области — 396). Тенденция к сокращению выданных разрешений на строительство сохраняется и в 2020 году. Коммерческий директор ГК ФСК  Ольга Тумайкина  объясняет сокращение числа полученных разрешений на новое строительство тем, что девелоперы накануне ввода новых правил финансирования получили максимально возможное на тот момент количество разрешений на строительство. Напомним, с 1 июля 2019 года застройщики жилья обязаны привлекать средства дольщиков только через эскроу-счета. Соответственно, следует ожидать снижения ввода жилья в России. Такой прогноз содержится в презентации старшего вице-президента  Сбербанка   Владимира Ситнова , представленной журналистам, участвовавшим 21 октября в проходившей в Санкт-Петербурге конференции по развитию жилищного строительства. Прогноз сделан на основе полученных девелоперами документов на новое строительство. «По нашим оценкам, в Москве ""запас"" разрешительной документации будет исчерпан к середине 2021 года. Это самый лучший показатель по стране», — комментирует Владимир Ситнов. Это значит, что наиболее ликвидные и интересные объекты постепенно будут  вымываться  с рынка. Уже в прошлом году впервые за последние годы на рынок было выведено квартир в два раза меньше, чем продано. По мониторингу НОЗА в целом по России ассортимент предложений квартир за 2019 год  сократился  на 14,5 процента, что повлекло рост цен в среднем на 12 процентов. Среди факторов, влияющих на цену недвижимости, нельзя не учитывать себестоимость строительства. Многие девелоперы уже работают с минимальной рентабельностью. Переход на эскроу-счета и проектное финансирование увеличили расходы застройщиков по разным оценкам на 6-8 процентов,  писал  РБК. А из-за роста курса доллара себестоимость строительства выросла за счет удорожания импортных стройматериалов. По данным Национального объединения строителей (НОСТРОЙ), в апреле подорожали лакокрасочные материалы (плюс 15 процентов), вентиляционное оборудование (плюс 12 процентов), арматура (плюс 10 процентов), оцинкованный металл (плюс 9 процентов) и электрика (плюс 8 процентов). По мнению Ольги Тумайкиной, сокращение предложения новостроек усилит монополизацию рынка. Усилит этот процесс и реформа долевого строительства, которая лишила мелких и средних застройщиков единственного доступного источника финансирования — денег дольщиков. Число строительных компаний, которых кредиторы хотят обанкротить, за 2019 год выросло на 77 процентов (350 застройщиков). Общее число компаний, признанных банкротами, выросло за год на 22 процента — до 184. Такие данные  приводит  в своем исследовании Рейтинговое агентство строительного комплекса (РАСК). К тому же за 2019 год объем просроченной задолженности компаний, занимающихся строительством зданий и сооружений, вырос на 9 процентов, а ее доля — с 17,3 до 21,3 процента,  говорится  в исследовании рейтингового агентства «Эксперт РА». Выдачи кредитов компаниям на строительство зданий и сооружений в 2019-м сократились на 9 процентов по сравнению с 2018 годом. На себестоимость строительства влияют и меры профилактики коронавирусной инфекции на строительных площадках. «Себестоимость строительства растет. На это влияют удорожание строительных материалов и затраты, связанные с соблюдением санитарно-защитных мер на строительных площадках и в офисах продаж», — отметила коммерческий директор ГК ФСК  Ольга Тумайкина. Фактор, который стал определяющим для ценообразования квадратного метра, — рекордно низкие за всю историю ипотеки ставки. Ни них, кроме госпрограммы льготной ипотеки под 6,5 процента, активно влияют и совместные акции застройщиков с банками, подогревая спрос на недвижимость. ГК ФСК совместно с крупнейшими банками страны запустила сразу две подобные льготные программы — с  ВТБ  и « Альфа-банком . Так с ВТБ  запущена  ипотечная программа со ставкой от 0,5 процента годовых. Такая ставка работает в рамках программы «Ипотека 6,5». До конца 2020 года ставка по ипотеке будет 0,5 процента годовых, в дальнейшем — 6,5 процента. Субсидирование ставки по ипотеке до конца 2020 года осуществляет ФСК. Приобрести квартиру по этой программе можно в новостройках, которые строятся ГК ФСК на территории Москвы и Московской области. С «Альфа-Банком» ФСК совместно  запустила  акцию субсидированной ипотеки под 0 процентов до конца 2020 года. А с января 2021 года ипотечная ставка на оставшийся срок кредитования составит 8,39 процента. Получается, что до 1 января 2021 года проценты по ипотеке за покупателя будет гасить застройщик. Первоначальный взнос при использовании данного предложения должен составлять не менее 20 процентов от стоимости квартиры, кредит можно взять на срок до 20 лет. Ранее у ГК ФСК вместе со Сбербанком была внедрена ипотека с рассрочкой. Выдача ипотечного кредита для покупки квартиры в новостройке в объектах ГК ФСК будет проводиться двумя частями. Первая часть в размере 10 процентов от суммы кредита перечисляется сразу после подписания договора приобретения. Оставшаяся часть поступает до 10 декабря 2020 года, но не позднее ввода объекта в эксплуатацию. Сбербанк в этой программе  выдает  кредиты по ставке 6,4 процента годовых. Столь выгодных условий по ипотеки на рынке еще не было и вряд ли скоро появятся. Уже сейчас застройщики начали отменять и сокращать скидки. А спрос подогревается. «На фоне активного спроса стоимость новостроек до конца года может вырасти на 10-20 процентов. Со снижением ипотечных ставок девелоперы получили своего рода дельту для покрытия издержек путем повышения цен. Такую дельту может создать лишь очередное снижение ипотечных ставок», — сказал   «Известиям»  директор риэлтерской компании «Этажи»  Ильдар Хусаинов . «Несмотря на последствия экономического кризиса и пандемии коронавируса, а также падения спроса на покупку жилья в период самоизоляции, недвижимость в Москве и не думает дешеветь, —  отмечал  в эфире телеканала «МИР 24» генеральный директор IKON Development Антон Детушев. — Причем рост цен на квартиры затронул не только новостройки, но наблюдается также и на рынке вторичной недвижимости. С начала 2020 года квартиры подорожали в среднем на 2-5 процентов в зависимости от типа жилья, класса и локации». Дополнительно к этому сформировался отложенный спрос на новостройки, и после отмены режима самоизоляции люди вернутся на рынок с активной покупательской позицией. Подтверждение тому — аналогичная тенденция в Китае, где после отмены карантина наблюдался повышенный спрос на недвижимость. В кризисы недвижимость является самым надежным инструментом для сохранения сбережений. Доходность от нее, в особенности, если покупаешь квартиру в строящемся доме, существенно превышает доходность от банковских вкладов. В текущей ситуации эта картина проявилась особенно явно. В связи с тем, что ставка  ЦБ  снижается, снижаются и проценты по вкладам. Сегодня ставка ЦБ составляет 5,5 процента, средняя ставка по банковским вкладам — 6-7 процентов. В то время как доходность от недвижимости составит 10-15 процентов годовых и выше.",Экономика
1399,"Участница Pussy Riot  Надежда Толоконникова  стала гостьей шоу «Подруги», в котором связала свой интерес к мужчинам с давлением общества. Выпуск передачи опубликован на  YouTube -канале «Нежный редактор». Активитска призналась, что ее первые сексуальные фантазии, возникшие в подростковом возрасте, были связаны с девушками. «Скорее всего, я под давлением общества стала смотреть в сторону мальчиков больше. Я росла в городе Норильске, где, если ты заявишь, что тебя интересуют девочки, скорее всего, ты будешь огребать от всех по первое число. Вероятно, меня это как-то травмировало», — поделилась Толоконникова. Она вспомнила, что в юном возрасте переживала из-за того, что ее не привлекают мужские тела. Участница Pussy Riot предположила, что большинство людей, включая ее саму, являются пансексуалами, то есть они способны испытывать романтическое и сексуальное увлечение людьми любого пола и гендера. «Поскольку я считаю, что гендер — это спектр, и есть люди, которые себя определяют вне традиционной мужской и женской модели, то получается если я влюбляюсь в квира, это делает меня пансексуалом», — объяснила Толоконникова. Она пояснила, что у нее уже были партнеры, которые не вписывались в традиционные гендерные модели. В качестве примера она привела женщину, с которой у нее завязались отношения в тюрьме. В 2018 году Толоконникова дала интервью журналисту Юрию Дудю, в котором  заявляла  о том, что иногда у нее бывают партнеры ее пола. При этом она отказалась называть себя бисексуалкой, пояснив, что не относит себя полностью к женщинам.",Культура
1404,"Крупные российские банки на фоне восстановления рынка кредитов на товары в магазинах (POS-кредиты) нашли способ навязывать заемщиками кредитные карты. Об этом пишет «Коммерсантъ» со ссылкой на игроков рынка. Согласно новому механизму, если при проверке потенциального получателя товарного кредита оказывается, что заемщик надежный, ему предлагается сразу получить кредитную карту. В случае согласия, заемщик погашает задолженность равными платежами, как и при обычной ссуде на товар. Открывшимся лимитом по кредитной карте он может пользоваться по мере погашения долга или после его закрытия — условия зависят от конкретного банка. По данным издания, активно внедряют оформление POS-кредита на карту рассрочки  банк «Хоум Кредит» . Технологию прорабатывают в  МТС-банке . В «Ренессанс Кредите» и Почта-банке такой вариант выдачи POS-кредита сочли неэффективным. Ранее россиянам  посоветовали  избегать организаций, выдающих микрозаймы слишком быстро. Также перед оформлением микрозаймов стоит проверить, входит ли организация в государственный реестр микрофинансовых организаций (МФО) на сайте  Банка России . Перед подписанием договора необходимо убедиться, что в нем нет дополнительных услуг.",Экономика
1414,"Пристрастие к алкоголю актера  Михаила Ефремова , который устроил смертельное ДТП в центре Москвы, не может быть оправданием в суде и не поможет виновнику избежать реального срока. Об этом в эфире  телеканала НТВ  заявил адвокат  Андрей Князев . «То, что человек злоупотребляет, будет написано. То, что имеет психопатические черты или еще какие-то, — они не исключают вменяемости. Если ты пьешь, это не значит, что ты не соображаешь, что такое хорошо, а что такое плохо», — пояснил юрист. По его словам, актеру грозит пять-семь лет лишения свободы. За ДТП с жертвой Ефремов не сможет отделаться условным наказанием, считает Князев. По мнению полковника ФСИН в отставке Василия Макиенко, артиста  могут отправить  в колонию-поселение. Там в его распоряжении будет телефон, так что он сможет связываться с родственниками и даже заказывать еду из ресторанов. Однако, по условиям пребывания в колонии-поселении, Ефремов будет вынужден работать на каком-либо предприятии или в библиотеке. 8 июня актер, находившийся в состоянии алкогольного опьянения, устроил аварию на Смоленской площади в столице. Его автомобиль выехал на встречную полосу и врезался в фургон, водитель которого скончался в больнице из-за потери крови. Сам Ефремов не пострадал, он был отправлен под домашний арест.",Культура
1418,"Авторы исследования, проведенного  Bloomberg  Economics, пришли к выводу, что нынешний высокий уровень безработицы в США может сохраниться надолго и в каком-то смысле стать «вечным». В качестве причины они назвали «шок перераспределения» — явление, при котором в одних секторах появляются новые рабочие места, в то время, как в других их количество сокращается. Проблема кроется в том, что новые места создаются медленнее, нежели сокращаются старые. Авторы считают, что снизить безработицу с нынешних высоких показателей не удастся даже за счет масштабных программ стимулирования: монетарной в исполнении  Федеральной резервной системы  (ФРС), проводящей беспрецедентное по объему количественное смягчение (выкуп ценных бумаг у банков), и фискальной в исполнении правительства, выделяющего пособия и льготные кредиты нуждающимся жителям и предприятиям. Благодаря этим усилиям в среднесрочной перспективе возможно резкое восстановление национального рынка труда, однако оно, скорее всего, не продлится долго, говорится в исследовании. В последние недели в США наблюдается снижение числа новых заявок на пособия по безработице по сравнению с рекордным весенним уровнем. Однако это не означает, что увольнения закончились — напротив, теперь под сокращения попадают высокопоставленные сотрудники, располагающие сбережениями и не имеющие нужды обращаться за пособиями. Это происходит на фоне открытия многих компаний и целых отраслей. «Шок перераспределения» стал причиной примерно 30 процентов увольнения за последние месяцы, подсчитали авторы Bloomberg. Еще 50 процентов пришлось на последствия блокировки экономики, причиной 20 процентов увольнений стали высокие пособия по безработице, из-за которых потерявшие работу граждане лишаются стимулов искать новую. В этой ситуации правительству предстоит разработать новый, более гибкий подход к поддержке экономики, отмечается в исследовании. Он должен основываться на выделении помощи только тем компаниям, которые в обычной ситуации показывали бы хорошие финансовые результаты. Нежизнеспособные предприятия, напротив, не должны рассчитывать на поддержку со стороны государства.",Экономика
1420,"Двукратный олимпийский чемпион, а ныне тренер  Евгений Плющенко  рассказал о способностях фигуристки  Александры Трусовой , которые не были, по его мнению, замечены ранее. Его слова приводит  ТАСС . Плющенко заявил, что процесс тренировок идет неплохо, а Трусова — «большая труженица». Он добавил, что сейчас для спортсменки ставятся программы, но отказался раскрыть музыку для них. Тренер заметил, что ему хочется показать результат работы с фигуристкой. «Саша прекрасно владеет коньком, у нее прекрасная хореография, просто на это раньше не обращали внимания», — подчеркнул он. 6 мая стало известно о  переходе  Трусовой в академию Плющенко из группы  Этери Тутберидзе . Спортсменка — двукратная чемпионка мира среди юниоров и бронзовый призер взрослого чемпионата Европы-2020. 13 июня Плющенко  рассказал  о тренировках Трусовой на сборах в Кисловодске. Он заявил, что фигуристка исполнила новый четверной прыжок — риттбергер.",Спорт
1428,"Российский театральный актер  Сергей Масленников  умер в возрасте 58 лет. Об этом сообщил художественный руководитель театра  Михаил Смирнов , слова которого опубликованы на странице во  «ВКонтакте» . Как рассказал Смирнов, Масленников умер 12 июня. «Это был один из самых ярких эстрадных выпускников  Исаака Романовича Штокбанта », — подчеркнул он. Другие подробности смерти не сообщаются. Сергей Масленников известен как театральный актер, работавший в России и Германии. В 1988 году окончил Ленинградский государственный институт театра, музыки и кинематографии (ЛГИТМиК). В 1990-е уехал в Германию, где успешно продолжил творческую деятельность. В мае после тяжелой и продолжительной болезни  умер  старейший актер Театра имени Вахтангова  Евгений Федоров . Ему было 96 лет.",Культура
1430,"Футболисты мексиканского клуба «Монтеррей» почтили память убитого одноклубника Александра Мартинеса. Видео появилось в  Twitter  Noticias de Oaxaca | TVBUS. Игроки во время церемонии прощания принесли гроб с Мартинесом на футбольное поле, дав ему возможность забить последний гол в жизни. Мяч ударили о гроб под таким углом, чтобы он рикошетом попал в ворота. По информации  Reuters , Мартинес был убит полицейскими, которые приняли его за преступника. Футболисту было 16 лет. Он являлся воспитанником «Монтеррея».",Спорт
1434,"Перед записью видеообращения актера  Михаила Ефремова  посетил частный нарколог для лечения абстинентного синдрома. Об этом сообщает  Telegram -канал «112». Отмечается, что это состояние возникает при полном прекращении приема психоактивного вещества после длительного употребления. По словам анонимного источника, Ефремов планирует начать лечиться от алкогольной зависимости. При этом, по данным  РИА Новости , адвокат Ефремова Елизавета Шаргородская заявила, что нарколога для ее подзащитного не вызывали. Ранее артист, ставший виновником смертельного ДТП, в котором погиб водитель  Сергей Захаров ,  записал  обращение. Он предложил семье погибшего помощь, если они ее примут, «если поймут, что это не попытка откупиться, а попытка искупить». Ефремов сказал, что ему нет прощения от тех, кто ему верил. «Это конец, нет больше Ефремова», — заявил он. Семья Захарова  отказалась  принимать извинения и деньги от актера. По словам адвоката родных погибшего, представители семьи Захарова намерены идти до конца, добиваясь справедливого решения суда. «Таким образом, извинения семьей де-факто не приняты», — сказал адвокат и добавил, что о мирном урегулировании говорить слишком поздно. Вечером 8 июня Ефремов, находившийся в состоянии алкогольного опьянения, устроил аварию в центре Москвы. Его внедорожник выехал на встречную полосу и врезался в фургон, водитель которого скончался в больнице из-за потери крови. Сам Ефремов не пострадал, его отправили под домашний арест. Одним из условий домашнего ареста стал запрет на пользование любыми средствами связи и интернетом. Артисту также запрещено общаться с кем-либо, кроме близких родственников и работников следствия.",Культура
1436,"Российский боец смешанного стиля (MMA)  Александр Шлеменко  в своем  Instagram  рассказал об обнаруженном им в Иртыше теле неизвестного утонувшего мужчины. По словам спортсмена, труп мужчины в возрасте 40-45 лет он заметил в 15 метрах от берега во время отдыха с сыном на пляже. Шлеменко вытащил тело из воды и вызвал полицию. По мнению бойца, смерть наступила примерно сутки назад. На счету 36-летнего россиянина 59 побед и 13 поражений в профессиональной карьере.",Спорт
1438,"Тренер по прыжкам в высоту  Евгений Загорулько  предложил ввести правило, по которому лишать наград и званий будут не только уличенных в нарушении антидопинговых правил атлетов, но и спортивных чиновников. Об этом сообщает «Спорт-Экспресс». Специалист считает, что наказывать исключительно спортсменов и их тренеров несправедливо. По мнению Загорулько, функционеры, которых награждают за победы атлетов, должны полностью разделять ответственность с ними. В конце прошлого года Загорулько был отстранен от работы руководством Всероссийской федерации легкой атлетики (ВФЛА) после того, как его ученика Данилу Лысенко дисквалифицировали за нарушение антидопинговых правил. В 2015 году деятельность ВФЛА была приостановлена из-за систематических нарушений россиянами антидопинговых правил. В данный момент отечественные спортсмены могут выступать на международных соревнованиях только после получения индивидуальных разрешений и в нейтральном статусе. Одним из условий получения такого статуса является оплата взноса в размере 250 долларов в World Athletics.",Спорт
1443,"Российский боец смешанного стиля (MMA)  Александр Емельяненко  в интервью  YouTube -каналу Асланбека Бадаева раскритиковал бывшего бойца MMA и киноактера  Олега Тактарова  за слова о кавказцах. Емельяненко рассказал, что был удивлен критическими высказываниями Тактарова о Кавказе. «Что ж ты на территории самого Кавказа не говорил, что нужно сделать с кавказскими, кого завезти? Думаю, здесь он бы числился в списках без вести пропавших», — заявил он. Боец назвал Тактарова «списанным с пенсии гражданином». Полемика Емельяненко и Тактарова из-за кавказского народа началась в конце апреля. Тогда Александр  назвал  актера «проституткой». В ответ Тактаров заявил, что Емельяненко для него «умер» и  захотел  разобраться с ним в темной комнате. Емельяненко тренируется в бойцовском клубе «Ахмат», который курирует глава Чечни  Рамзан Кадыров . Его последний бой по правилам MMA прошел под эгидой грозненского промоушена и завершился вничью. Всего на счету спортсмена 29 побед и 7 поражений в MMA. Тактаров известен по выступлениям в UFC. Он становился победителем шестого турнира организации, одолев в финале американца Тэнка Эббота.",Спорт
1449,"Главврач столичной больницы №71  Александр Мясников , известный зрителям «России 1» как доктор Мясников, подал заявку на регистрацию собственного бренда. Как сообщает агентство «Москва», под его маркой будут производить и продавать различные медицинские и ветеринарные препараты. В частности, речь идет о медицинской конопле, лекарстве от запоров, масках, перчатках, а также сувенирной продукции. Имя доктора появится на авторучках, брелоках, женских сумках, кимоно и банданах. Кроме того, под брендом можно будет проводить съемку фильмов, телепередач и записывать подкасты. Сейчас, помимо основной деятельности, Мясников является официальным представителем информационного центра по мониторингу ситуации с коронавирусом. Недавно он  поспорил  с  ВОЗ  о статистике смертности: «Их объяснение низкой смертности в России тем, что в стране делается много тестов, звучит как задачка для школьников младших классов». Врачебная практика и работа на телевидении не мешают Мясникову высказываться и по другим вопросам. Например, недавно он  прокомментировал  аварию с актером  Михаилом Ефремовым  в результате которой погиб человек. Осуждению с его стороны подверглось окружение актера.",Экономика
